ITEMS,Turkey,Germany,United+States
"Meal, Inexpensive Restaurant ", 3.20 , 11.84 , 15.00 
"Meal for 2 People, Mid-range Restaurant, Three-course ", 12.80 , 59.22 , 55.00 
McMeal at McDonalds (or Equivalent Combo Meal) , 3.20 , 9.48 , 8.00 
Domestic Beer (0.5 liter draught) , 2.05 , 4.15 , 5.00 
Imported Beer (0.33 liter bottle) , 2.56 , 4.15 , 6.00 
Cappuccino (regular) , 1.60 , 3.30 , 4.26 
Coke/Pepsi (0.33 liter bottle) , 0.56 , 2.80 , 1.89 
Water (0.33 liter bottle)  , 0.18 , 2.40 , 1.54 
"Milk (regular), (1 liter) ", 0.72 , 0.99 , 0.85 
Loaf of Fresh White Bread (500g) , 0.33 , 1.58 , 2.72 
"Rice (white), (1kg) ", 1.56 , 2.35 , 4.03 
Eggs (regular) (12) , 1.47 , 2.64 , 2.34 
Local Cheese (1kg) , 5.52 , 9.44 , 11.08 
Chicken Fillets (1kg) , 2.53 , 8.48 , 9.07 
Beef Round (1kg) (or Equivalent Back Leg Red Meat) , 8.65 , 11.83 , 12.45 
Apples (1kg) , 0.77 , 2.73 , 4.59 
Banana (1kg) , 1.84 , 1.98 , 1.57 
Oranges (1kg) , 1.02 , 2.23 , 4.06 
Tomato (1kg) , 0.68 , 2.92 , 4.30 
Potato (1kg) , 0.46 , 1.52 , 2.67 
Onion (1kg) , 0.53 , 1.53 , 2.66 
Lettuce (1 head) , 0.53 , 1.13 , 1.63 
Water (1.5 liter bottle) , 0.29 , 0.48 , 1.83 
Bottle of Wine (Mid-Range) , 6.40 , 5.92 , 12.00 
Domestic Beer (0.5 liter bottle) , 1.64 , 1.04 , 2.40 
Imported Beer (0.33 liter bottle) , 2.16 , 1.58 , 2.95 
Cigarettes 20 Pack (Marlboro) , 2.30 , 7.94 , 8.00 
One-way Ticket (Local Transport) , 0.45 , 3.32 , 2.25 
Monthly Pass (Regular Price) , 25.59 , 82.91 , 70.00 
Taxi Start (Normal Tariff) , 0.64 , 4.15 , 3.25 
Taxi 1km (Normal Tariff) , 0.45 , 2.37 , 1.68 
Taxi 1hour Waiting (Normal Tariff) , 3.84 , 35.53 , 30.00 
Gasoline (1 liter) , 0.85 , 1.67 , 0.69 
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ," 25,590.17 "," 26,058.38 "," 23,000.00 "
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ," 21,695.42 "," 26,033.09 "," 21,447.95 "
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ", 60.44 , 259.00 , 161.78 
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) , 0.10 , 0.12 , 0.14 
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ", 13.36 , 38.09 , 65.26 
"Fitness Club, Monthly Fee for 1 Adult ", 20.49 , 35.33 , 37.38 
Tennis Court Rent (1 Hour on Weekend) , 12.01 , 23.59 , 16.07 
"Cinema, International Release, 1 Seat ", 3.20 , 14.21 , 12.00 
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ", 221.96 , 396.96 , 941.46 
"International Primary School, Yearly for 1 Child "," 4,925.33 "," 14,654.34 "," 16,268.01 "
1 Pair of Jeans (Levis 501 Or Similar) , 31.43 , 91.35 , 44.02 
"1 Summer Dress in a Chain Store (Zara, H&M, ...) ", 22.35 , 41.27 , 35.62 
1 Pair of Nike Running Shoes (Mid-Range) , 56.85 , 95.97 , 75.90 
1 Pair of Men Leather Business Shoes , 43.19 , 126.15 , 96.31 
Apartment (1 bedroom) in City Centre , 202.75 , 879.43 ," 1,352.51 "
Apartment (1 bedroom) Outside of Centre , 127.50 , 664.63 ," 1,082.24 "
Apartment (3 bedrooms) in City Centre , 347.81 ," 1,686.83 "," 2,171.45 "
Apartment (3 bedrooms) Outside of Centre , 220.15 ," 1,263.83 "," 1,719.04 "
Price per Square Meter to Buy Apartment in City Centre , 849.81 ," 6,012.54 "," 3,145.52 "
Price per Square Meter to Buy Apartment Outside of Centre , 466.07 ," 4,168.73 "," 2,089.65 "
Average Monthly Net Salary (After Tax) , 389.72 ," 2,775.84 "," 3,548.28 "
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ", 15.56, 1.89, 4.19
